c;phi;gam;alp;h;num_slice;slope_len;fel;bis
20;0.4363323129985824;18.5;0.5235987755982988;15;10;25.98076211353316;2.4463771940440964;3.3593246993166153
20;0.4363323129985824;18.5;0.5235987755982988;15;20;25.98076211353316;2.4293742516750823;3.3274990355266523
20;0.4363323129985824;18.5;0.5235987755982988;15;30;25.98076211353316;2.4210683979371654;3.3134772413257627
20;0.4363323129985824;18.5;0.5235987755982988;15;40;25.98076211353316;2.420286490763333;3.3126377143776753
20;0.4363323129985824;18.5;0.5235987755982988;15;50;25.98076211353316;2.4188630961926743;3.3095319395035205
20;0.4363323129985824;18.5;0.5235987755982988;15;60;25.98076211353316;2.420197051734794;3.3118609282572726
20;0.4363323129985824;18.5;0.5235987755982988;15;70;25.98076211353316;2.418287111711965;3.3085593149550436
20;0.4363323129985824;18.5;0.5235987755982988;15;80;25.98076211353316;2.4191925823904556;3.3102489923079004
20;0.4363323129985824;18.5;0.5235987755982988;15;90;25.98076211353316;2.4181994545097054;3.3083930452990655
20;0.4363323129985824;18.5;0.5235987755982988;15;100;25.98076211353316;2.419043842085476;3.3098400173255453
20;0.4363323129985824;18.5;0.5235987755982988;15;110;25.98076211353316;2.4180619378179067;3.30819216607603
20;0.4363323129985824;18.5;0.5235987755982988;15;120;25.98076211353316;2.4187762732771247;3.30948049015298
20;0.4363323129985824;18.5;0.5235987755982988;15;130;25.98076211353316;2.4180591665873483;3.308131807491242
20;0.4363323129985824;18.5;0.5235987755982988;15;140;25.98076211353316;2.418657857026189;3.3092063920971335
20;0.4363323129985824;18.5;0.5235987755982988;15;150;25.98076211353316;2.418327623375748;3.3085131099743297
20;0.4363323129985824;18.5;0.5235987755982988;15;160;25.98076211353316;2.4186142645468376;3.3091798813783795
20;0.4363323129985824;18.5;0.5235987755982988;15;170;25.98076211353316;2.4179292819656033;3.3080688212683094
20;0.4363323129985824;18.5;0.5235987755982988;15;180;25.98076211353316;2.4185749281746496;3.3091091573325873
20;0.4363323129985824;18.5;0.5235987755982988;15;190;25.98076211353316;2.41798807525958;3.308097227276055
20;0.4363323129985824;18.5;0.5235987755982988;15;200;25.98076211353316;2.418519993579233;3.308982227199286
20;0.4363323129985824;18.5;0.5235987755982988;15;210;25.98076211353316;2.4180243280582605;3.308091755970328
20;0.4363323129985824;18.5;0.5235987755982988;15;220;25.98076211353316;2.418445756448634;3.3089391542754023
20;0.4363323129985824;18.5;0.5235987755982988;15;230;25.98076211353316;2.4183425280928184;3.308603515443096
20;0.4363323129985824;18.5;0.5235987755982988;15;240;25.98076211353316;2.4186674151728442;3.30931797912849
20;0.4363323129985824;18.5;0.5235987755982988;15;250;25.98076211353316;2.4182389190201516;3.3084994372845973
20;0.4363323129985824;18.5;0.5235987755982988;15;260;25.98076211353316;2.4187186980427717;3.309319361312517
20;0.4363323129985824;18.5;0.5235987755982988;15;270;25.98076211353316;2.418466083600197;3.308906818160285
20;0.4363323129985824;18.5;0.5235987755982988;15;280;25.98076211353316;2.4186605569260164;3.309270601692613
20;0.4363323129985824;18.5;0.5235987755982988;15;290;25.98076211353316;2.4183763501582765;3.308863866549108
20;0.4363323129985824;18.5;0.5235987755982988;15;300;25.98076211353316;2.4188988117186527;3.309627645200424
20;0.4363323129985824;18.5;0.5235987755982988;15;310;25.98076211353316;2.418666127590599;3.3092815114212666
20;0.4363323129985824;18.5;0.5235987755982988;15;320;25.98076211353316;2.4187998820079626;3.309644379178599
20;0.4363323129985824;18.5;0.5235987755982988;15;330;25.98076211353316;2.418179784893884;3.3085135513085984
20;0.4363323129985824;18.5;0.5235987755982988;15;340;25.98076211353316;2.4184831186394455;3.309246389736922
20;0.4363323129985824;18.5;0.5235987755982988;15;350;25.98076211353316;2.418749672518334;3.3094503093378727
20;0.4363323129985824;18.5;0.5235987755982988;15;360;25.98076211353316;2.418722087322532;3.3095585522296216
20;0.4363323129985824;18.5;0.5235987755982988;15;370;25.98076211353316;2.419137067458655;3.310119407256393
20;0.4363323129985824;18.5;0.5235987755982988;15;380;25.98076211353316;2.4187344315824815;3.309603015215001
20;0.4363323129985824;18.5;0.5235987755982988;15;390;25.98076211353316;2.4191123213456813;3.3100219913507285
20;0.4363323129985824;18.5;0.5235987755982988;15;400;25.98076211353316;2.419161845045972;3.3103275379444304
20;0.4363323129985824;18.5;0.5235987755982988;15;410;25.98076211353316;2.418717696613171;3.3095755491687373
20;0.4363323129985824;18.5;0.5235987755982988;15;420;25.98076211353316;2.4192571667216765;3.310409280266244
20;0.4363323129985824;18.5;0.5235987755982988;15;430;25.98076211353316;2.4188826121477964;3.309988859843426
20;0.4363323129985824;18.5;0.5235987755982988;15;440;25.98076211353316;2.418932480566391;3.3100969712014887
20;0.4363323129985824;18.5;0.5235987755982988;15;450;25.98076211353316;2.4192666490755363;3.3103933236481287
20;0.4363323129985824;18.5;0.5235987755982988;15;460;25.98076211353316;2.4193131928252236;3.3105933183329346
20;0.4363323129985824;18.5;0.5235987755982988;15;470;25.98076211353316;2.4189429379461673;3.3101255448663047
20;0.4363323129985824;18.5;0.5235987755982988;15;480;25.98076211353316;2.419347651668794;3.31075516141742
20;0.4363323129985824;18.5;0.5235987755982988;15;490;25.98076211353316;2.419044086400746;3.3105001753447345
20;0.4363323129985824;18.5;0.5235987755982988;15;500;25.98076211353316;2.419115824771605;3.3105423771416995
20;0.4363323129985824;18.5;0.5235987755982988;15;510;25.98076211353316;2.419194647406745;3.310742580842616
